date,open,high,low,close,year,month,day,day_name
2004-10-08,1.2309999999999999,1.2434,1.2283,1.2398,2004.0,10.0,8.0,Friday
2004-10-11,1.2399,1.2417,1.2359,1.2368,2004.0,10.0,11.0,Monday
2004-10-12,1.2369,1.2369,1.229,1.2314,2004.0,10.0,12.0,Tuesday
2004-10-13,1.2313,1.2357,1.2228,1.2354,2004.0,10.0,13.0,Wednesday
2004-10-14,1.2355,1.2421,1.2344,1.2392,2004.0,10.0,14.0,Thursday
2004-10-15,1.2393,1.2507,1.2379,1.2484,2004.0,10.0,15.0,Friday
2004-10-18,1.2485,1.2535,1.2456,1.2464,2004.0,10.0,18.0,Monday
2004-10-19,1.2465,1.2528,1.2456,1.2503,2004.0,10.0,19.0,Tuesday
2004-10-20,1.2504,1.2631,1.25,1.2587,2004.0,10.0,20.0,Wednesday
2004-10-21,1.2588,1.2653,1.258,1.2613,2004.0,10.0,21.0,Thursday
2004-10-22,1.2614,1.2794,1.26,1.2775,2004.0,10.0,22.0,Friday
2004-10-25,1.2774,1.2844,1.2752,1.2833,2004.0,10.0,25.0,Monday
2004-10-26,1.2832,1.2834,1.2729,1.2739,2004.0,10.0,26.0,Tuesday
2004-10-27,1.274,1.2814,1.2681,1.2723,2004.0,10.0,27.0,Wednesday
2004-10-28,1.2724,1.2768,1.2633,1.2747,2004.0,10.0,28.0,Thursday
2004-10-29,1.2746,1.2835,1.2708,1.278,2004.0,10.0,29.0,Friday
2004-11-01,1.2781,1.2796,1.272,1.2744,2004.0,11.0,1.0,Monday
2004-11-02,1.2743,1.275,1.2667,1.2692,2004.0,11.0,2.0,Tuesday
2004-11-03,1.2693,1.2834,1.2658,1.2825,2004.0,11.0,3.0,Wednesday
2004-11-04,1.2826,1.2901,1.2794,1.2887,2004.0,11.0,4.0,Thursday
2004-11-05,1.2886,1.2989,1.2772,1.2976,2004.0,11.0,5.0,Friday
2004-11-08,1.2977,1.2988,1.2892,1.2918,2004.0,11.0,8.0,Monday
2004-11-09,1.2917,1.2941,1.2884,1.2899,2004.0,11.0,9.0,Tuesday
